V_NO,MAKE,MODEL,COLOUR,FUEL_TYPE,REGISTERED_KEEPERS,CAPCLEAN,ODOMETER_MILES,VEHICLE_AGE__MONTHS,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE
40621,MAZDA,CX-5,BLACK,Diesel,4,2225,114523,139,31/12/2020,OTHER,SEMI-AUTO
91996,PEUGEOT,3008,BLUE,Diesel,1,17200,12594,36,03/09/2021,TradeZone,MANUAL
3738,PEUGEOT,3008,GREY,Diesel,1,12750,61310,50,06/06/2017,TradeZone,SEMI-AUTO
73054,AUDI,A3,WHITE,Petrol,1,15900,52645,34,17/12/2020,TradeZone,SEMI-AUTO
9786,HONDA,HR-V,GREY,Hybrid,1,27000,10,2,28/06/2019,TradeZone,MANUAL
26696,BMW,IX3,GREY,Electric,1,26550,38748,39,15/04/2021,OTHER,SEMI-AUTO
70716,BMW,IX3,GREY,Electric,1,29550,27335,31,25/09/2018,PARTEX,AUTO
952,PEUGEOT,3008,BLACK,Petrol,1,14150,58707,40,27/09/2018,TradeZone,MANUAL
85957,PEUGEOT,3008,GREY,Petrol,2,13850,57577,48,29/04/2019,TradeZone,SEMI-AUTO
32332,PEUGEOT,3008,BLACK,Petrol,1,17300,29952,38,30/11/2016,TradeZone,SEMI-AUTO
47248,PEUGEOT,3008,GREY,Petrol,2,16850,33000,37,09/11/2023,TradeZone,MANUAL
67147,LAND ROVER,RANGE ROVER VELAR,GREY,Hybrid,1,47400,6387,8,11/05/2016,PARTEX,MANUAL
3182,JAGUAR,E-PACE,WHITE,Diesel,1,14000,20963,74,20/07/2022,TradeZone,SEMI-AUTO
58602,RENAULT,CLIO,GREY,Petrol,4,3175,57200,134,27/01/2022,OTHER,SEMI-AUTO
69683,BMW,2 SERIES GRAN COUPE,BLACK,Petrol,1,13550,77444,50,23/12/2022,TradeZone,MANUAL
18118,FORD,ECOSPORT,GREY,Petrol,3,8550,36595,68,17/06/2020,TradeZone,AUTO
12589,FORD,ECOSPORT,GREY,Petrol,1,11750,22283,38,30/09/2016,TradeZone,SEMI-AUTO
63624,FORD,ECOSPORT,WHITE,Petrol,3,7575,39743,86,31/10/2019,TradeZone,MANUAL
54515,FORD,ECOSPORT,BLACK,Petrol,1,11550,20872,39,11/03/2016,TradeZone,AUTO
52787,FORD,ECOSPORT,GREY,Petrol,2,8800,31263,68,05/01/2022,TradeZone,SEMI-AUTO
1860,FORD,ECOSPORT,WHITE,Petrol,2,7800,59300,62,26/06/2018,TradeZone,MANUAL
20494,FORD,ECOSPORT,WHITE,Petrol,1,9075,51326,49,03/05/2019,TradeZone,SEMI-AUTO
45809,BMW,3 SERIES,SILVER,Diesel,3,6450,98811,113,11/03/2019,PARTEX,AUTO
50701,KIA,STONIC,BLACK,Petrol,1,11600,7000,50,29/06/2020,TradeZone,SEMI-AUTO
7941,JAGUAR,XF,BLACK,Diesel,3,7600,54265,98,15/04/2021,TradeZone,SEMI-AUTO
11175,JAGUAR,XF,SILVER,Diesel,2,6350,75490,98,12/10/2017,OTHER,MANUAL
48382,NISSAN,MICRA,BLACK,Petrol,4,6075,42100,85,30/09/2017,PARTEX,MANUAL
83410,VOLKSWAGEN,POLO,BLUE,Petrol,1,13450,21112,37,25/10/2019,TradeZone,MANUAL
20617,VOLKSWAGEN,POLO,RED,Petrol,1,14600,17556,25,31/07/2020,TradeZone,AUTO
26379,VOLKSWAGEN,POLO,BLACK,Petrol,,14550,12973,32,31/07/2020,TradeZone,MANUAL
8285,LAND ROVER,DISCOVERY,BLACK,Diesel,1,50500,14917,17,07/12/2017,TradeZone,SEMI-AUTO
61833,PEUGEOT,3008,BLUE,Petrol,1,9400,57063,81,12/04/2021,TradeZone,SEMI-AUTO
29741,VAUXHALL,MOKKA X,ORANGE,Petrol,2,6300,60318,91,30/05/2022,TradeZone,MANUAL
65995,VAUXHALL,MOKKA X,BLACK,Petrol,3,6050,70002,81,10/10/2018,TradeZone,MANUAL
45623,VAUXHALL,CORSA,GREY,Petrol,2,1675,67144,140,26/10/2020,TradeZone,SEMI-AUTO
97169,MERCEDES-BENZ,GLE COUPE,WHITE,Diesel,1,44400,42372,44,17/03/2017,TradeZone,MANUAL
33747,NISSAN,JUKE,BLUE,Petrol,2,5950,35869,80,18/07/2019,TradeZone,AUTO
78171,FORD,FOCUS,BLUE,Petrol,5,7275,42700,85,09/02/2021,PARTEX,MANUAL
53887,FORD,FOCUS,GREY,Petrol,3,5150,77301,84,19/10/2023,OTHER,SEMI-AUTO
33078,FORD,FOCUS,GREY,Petrol,4,5500,65258,90,20/05/2017,PARTEX,MANUAL
45841,FORD,FOCUS,GREY,Petrol,1,5925,63827,85,14/08/2020,TradeZone,SEMI-AUTO
52200,FORD,FOCUS,GREY,Petrol,2,6475,53739,83,25/06/2021,TradeZone,SEMI-AUTO
23155,TOYOTA,PRIUS+,WHITE,Hybrid,2,16250,34930,62,30/09/2020,OTHER,MANUAL
50337,FIAT,500L,WHITE,Petrol,2,5825,37000,83,07/03/2019,TradeZone,SEMI-AUTO
41369,BMW,3 SERIES,BLACK,Diesel,3,2775,144000,138,26/09/2019,TradeZone,AUTO
44733,FIAT,500,BLUE,Petrol,9,1100,80885,202,25/01/2019,TradeZone,MANUAL
88912,FIAT,500,BLUE,Petrol,5,1500,53950,192,11/10/2019,TradeZone,AUTO
99068,MG,HS,BLACK,Hybrid,1,14050,28909,32,03/08/2021,TradeZone,AUTO
56813,HYUNDAI,I30,WHITE,Diesel,2,2100,152000,101,09/12/2016,PARTEX,MANUAL
2781,TOYOTA,PRIUS,BLACK,Hybrid,3,9625,66000,90,13/04/2021,TradeZone,SEMI-AUTO
26440,AUDI,E-TRON,BLUE,Electric,1,15450,55156,49,16/07/2021,TradeZone,MANUAL
18703,VOLKSWAGEN,TIGUAN,SILVER,Petrol,1,19400,52156,53,27/01/2020,TradeZone,MANUAL
27244,VOLKSWAGEN,TIGUAN,WHITE,Petrol,2,22900,26489,50,27/04/2021,TradeZone,SEMI-AUTO
47990,VOLKSWAGEN,TIGUAN,GREY,Petrol,1,23950,27375,35,06/01/2021,TradeZone,AUTO
71755,VOLKSWAGEN,TIGUAN,SILVER,Petrol,1,27250,11000,26,20/11/2020,TradeZone,MANUAL
53534,VOLKSWAGEN,TIGUAN,WHITE,Petrol,1,22900,26941,50,21/11/2020,TradeZone,MANUAL
2430,VOLKSWAGEN,TIGUAN,GREY,Petrol,2,19250,60176,50,01/04/2016,TradeZone,MANUAL
8962,VOLKSWAGEN,TIGUAN,GREY,Petrol,2,21500,38337,46,25/03/2024,PARTEX,AUTO
33943,VOLKSWAGEN,TIGUAN,BLACK,Petrol,1,21500,34552,51,29/09/2018,TradeZone,MANUAL
31463,VOLKSWAGEN,TIGUAN,WHITE,Petrol,1,21300,40239,49,24/10/2019,TradeZone,MANUAL
73420,VOLKSWAGEN,TIGUAN,WHITE,Petrol,1,22650,28027,50,07/10/2020,TradeZone,AUTO
73903,VOLKSWAGEN,TIGUAN,SILVER,Petrol,1,23000,25404,47,31/05/2018,TradeZone,SEMI-AUTO
22621,VOLKSWAGEN,TIGUAN,WHITE,Petrol,1,25550,24564,26,31/05/2018,TradeZone,AUTO
79850,LAND ROVER,FREELANDER 2,WHITE,Diesel,3,7175,100200,128,29/03/2019,TradeZone,MANUAL
20995,MERCEDES-BENZ,C-CLASS,SILVER,Petrol,3,16000,57367,74,29/07/2020,TradeZone,SEMI-AUTO
83630,TOYOTA,AYGO,BLACK,Petrol,2,7450,16000,51,10/12/2021,TradeZone,SEMI-AUTO
60857,TOYOTA,AYGO,BLUE,Petrol,1,7200,27679,50,28/06/2019,TradeZone,MANUAL
81621,TOYOTA,AYGO,BLUE,Petrol,3,7450,20173,48,11/06/2020,TradeZone,SEMI-AUTO
42456,TOYOTA,AYGO,BLACK,Petrol,1,7800,11813,45,01/03/2022,OTHER,MANUAL
34973,BMW,1 SERIES,GREY,Petrol,6,12100,52000,104,15/01/2020,TradeZone,SEMI-AUTO
82701,KIA,PICANTO,BLACK,Petrol,2,6050,28406,68,06/09/2019,TradeZone,SEMI-AUTO
97093,KIA,PICANTO,SILVER,Petrol,2,4775,59524,79,24/09/2019,TradeZone,MANUAL
62635,KIA,PICANTO,GREY,Petrol,1,6600,11388,73,03/09/2020,TradeZone,MANUAL
97412,SKODA,CITIGO,RED,Petrol,3,3675,60686,104,22/09/2017,TradeZone,SEMI-AUTO
25159,VOLVO,XC40,YELLOW,Petrol,1,20100,35451,52,14/09/2021,TradeZone,MANUAL
96728,FORD,GALAXY,BLACK,Diesel,2,9350,51886,94,30/06/2017,PARTEX,MANUAL
80297,VAUXHALL,ASTRA,WHITE,Petrol,2,17450,10214,19,10/02/2020,TradeZone,AUTO
3851,BMW,1 SERIES,BLUE,Petrol,3,10600,25760,74,27/07/2016,TradeZone,SEMI-AUTO
16735,NISSAN,JUKE,BLUE,Petrol,3,5600,55000,111,19/06/2019,TradeZone,SEMI-AUTO
39261,FORD,FOCUS,WHITE,Diesel,2,2225,106400,128,22/07/2020,PARTEX,SEMI-AUTO
35965,JAGUAR,XF,ORANGE,Diesel,3,10850,73049,80,01/07/2021,TradeZone,AUTO
677,JAGUAR,XF,GREY,Diesel,4,12900,41290,98,14/06/2021,TradeZone,MANUAL
51995,JAGUAR,XF,SILVER,Diesel,3,9525,67702,106,29/10/2019,TradeZone,MANUAL
17719,BMW,X3,BLACK,Hybrid,1,20850,52148,57,29/01/2021,TradeZone,MANUAL
71883,HONDA,CIVIC,BLACK,Petrol,5,1400,87000,190,31/03/2018,TradeZone,AUTO
53725,MERCEDES-BENZ,CLA,BLACK,Petrol,3,14250,26700,80,28/06/2019,TradeZone,MANUAL
92036,MG,HS,GREY,Petrol,3,13000,9470,22,02/03/2020,TradeZone,SEMI-AUTO
27348,VOLKSWAGEN,UP!,BLUE,Petrol,2,8275,23414,69,30/01/2018,TradeZone,MANUAL
40736,HONDA,CIVIC,WHITE,Petrol,3,6525,68000,96,01/09/2021,TradeZone,SEMI-AUTO
69956,MITSUBISHI,OUTLANDER,GREY,Hybrid,2,15750,15048,65,01/09/2021,OTHER,SEMI-AUTO
9664,HONDA,JAZZ,GREEN,Petrol,3,6175,43684,106,23/09/2022,TradeZone,SEMI-AUTO
61135,HONDA,JAZZ,RED,Petrol,2,7100,33846,90,31/03/2016,TradeZone,MANUAL
2466,DACIA,DUSTER,BLUE,Other,2,7900,41954,56,15/03/2018,OTHER,MANUAL
67619,JEEP,RENEGADE,GREY,Diesel,4,3600,107700,109,04/03/2019,TradeZone,MANUAL
36614,MINI,HATCHBACK,WHITE,Petrol,1,15050,12771,40,01/06/2020,TradeZone,AUTO
90820,LAND ROVER,DEFENDER,GREY,Diesel,1,47700,22097,23,28/03/2019,TradeZone,SEMI-AUTO
39535,VAUXHALL,INSIGNIA GRAND SPORT,RED,Diesel,2,5275,69946,83,21/02/2018,TradeZone,MANUAL
7298,LAND ROVER,DISCOVERY SPORT,BLACK,Diesel,1,15850,51984,62,07/03/2019,TradeZone,AUTO
22884,FORD,ECOSPORT,BLACK,Petrol,2,6975,38222,86,31/07/2020,OTHER,MANUAL
15880,FORD,ECOSPORT,BLUE,Petrol,2,5675,76194,79,23/06/2020,TradeZone,MANUAL
4584,FORD,ECOSPORT,GREY,Petrol,3,7600,24195,85,06/06/2018,OTHER,SEMI-AUTO
86735,FORD,ECOSPORT,BLACK,Petrol,2,8750,21355,64,31/07/2019,TradeZone,MANUAL
83754,FORD,ECOSPORT,WHITE,Petrol,2,8175,37480,58,08/07/2022,TradeZone,AUTO
89652,FORD,ECOSPORT,GREY,Petrol,2,7275,44224,70,30/11/2020,TradeZone,SEMI-AUTO
88895,FORD,ECOSPORT,WHITE,Petrol,2,7325,43592,72,29/06/2020,TradeZone,SEMI-AUTO
67773,VOLVO,XC40,WHITE,Hybrid,1,21550,25969,50,14/07/2021,TradeZone,MANUAL
7291,VOLVO,XC40,GREY,Hybrid,1,17450,66669,50,05/09/2018,TradeZone,SEMI-AUTO
15788,VOLVO,XC40,GREY,Hybrid,1,17550,65643,50,26/06/2020,TradeZone,MANUAL
81373,VOLVO,XC40,WHITE,Hybrid,1,17650,59983,52,17/12/2020,TradeZone,AUTO
92364,VOLVO,XC40,BLACK,Hybrid,2,17900,54044,56,04/11/2020,TradeZone,MANUAL
19699,VAUXHALL,CROSSLAND,BLACK,Petrol,1,12050,21602,37,07/03/2019,TradeZone,MANUAL
75429,VAUXHALL,MOKKA,BLACK,Diesel,2,3150,67856,107,18/09/2018,TradeZone,AUTO
90949,VOLKSWAGEN,ID.4,SILVER,Electric,1,15100,41867,35,06/12/2018,TradeZone,MANUAL
23760,TOYOTA,YARIS,BLUE,Petrol,5,850,108806,226,31/07/2017,TradeZone,MANUAL
64682,FORD,ECOSPORT,BLUE,Petrol,6,3250,82000,112,08/08/2018,PARTEX,SEMI-AUTO
22160,MAZDA,MX-30,GREEN,Electric,1,10950,15317,10,30/09/2020,TradeZone,AUTO
36080,MITSUBISHI,OUTLANDER,BLUE,Hybrid,2,8125,21206,120,15/07/2021,TradeZone,MANUAL
56378,MITSUBISHI,OUTLANDER,GREY,Hybrid,3,6475,64400,122,29/11/2019,TradeZone,MANUAL
7163,KIA,E-NIRO,WHITE,Electric,1,11950,57244,37,09/10/2020,TradeZone,AUTO
8233,KIA,E-NIRO,BLACK,Electric,1,13950,32699,38,30/03/2019,TradeZone,MANUAL
49623,KIA,E-NIRO,WHITE,Electric,1,13350,39416,37,09/03/2020,TradeZone,MANUAL
54477,KIA,E-NIRO,BLUE,Electric,1,13350,39315,38,19/06/2023,TradeZone,MANUAL
24511,KIA,E-NIRO,WHITE,Electric,1,12800,46789,38,28/02/2019,TradeZone,SEMI-AUTO
77194,KIA,E-NIRO,BLACK,Electric,2,12900,41001,39,31/01/2019,TradeZone,SEMI-AUTO
18126,KIA,E-NIRO,GREY,Electric,1,14750,23121,37,28/09/2020,TradeZone,SEMI-AUTO
28218,KIA,E-NIRO,WHITE,Electric,1,14800,19129,39,05/05/2017,TradeZone,AUTO
17416,KIA,E-NIRO,WHITE,Electric,1,13150,41295,37,19/03/2019,TradeZone,MANUAL
11633,FORD,FOCUS,BLUE,Diesel,2,12200,35507,56,12/03/2019,TradeZone,SEMI-AUTO
23309,FORD,FOCUS,BLACK,Diesel,3,11600,40075,58,18/03/2022,TradeZone,MANUAL
19190,VAUXHALL,MOKKA,RED,Diesel,5,3175,66657,107,28/04/2022,TradeZone,AUTO
32659,VOLKSWAGEN,TIGUAN,ORANGE,Diesel,1,21300,22130,38,31/07/2023,TradeZone,AUTO
60181,PEUGEOT,207,BLUE,Petrol,4,940,68000,146,30/09/2019,TradeZone,MANUAL
96172,FORD,PUMA,GREY,Petrol,1,12300,40393,57,08/10/2021,TradeZone,MANUAL
62832,FORD,PUMA,BLACK,Petrol,2,12900,40875,49,27/02/2018,OTHER,MANUAL
8646,FORD,PUMA,RED,Petrol,1,13700,28530,50,21/03/2016,TradeZone,MANUAL
47322,AUDI,A4 AVANT,SILVER,Diesel,2,780,203000,187,04/08/2020,TradeZone,AUTO
1237,VAUXHALL,ASTRA,GREY,Petrol,2,5275,46890,71,03/06/2021,OTHER,AUTO
5820,VOLKSWAGEN,PASSAT,BLACK,Diesel,2,9750,68158,91,30/10/2018,TradeZone,MANUAL
