V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
1351,VOLKSWAGEN,POLO,BLACK,Hatchback,Petrol,VOLKSWAGENPOLO7 Years OldPETROL,VOLKSWAGENPOLO7 Years Old,VOLKSWAGENPOLO,MATCH EDITION,13/09/2017,TradeZone,SEMI-AUTO,11700,90.566667,4,22213,290.32
9690,SUZUKI,VITARA,SILVER,SUV,Petrol,SUZUKIVITARA7 Years OldPETROL,SUZUKIVITARA7 Years Old,SUZUKIVITARA,SZ-T,07/08/2017,TradeZone,MANUAL,7450,85.3,2,43934,331.616
8247,CITROEN,C3,BLACK,Hatchback,Petrol,CITROENC32 Years OldPETROL,CITROENC32 Years Old,CITROENC3,SENSE,31/08/2022,TradeZone,MANUAL,10150,27.266667,1,10958,743.1899999999999
1017,NISSAN,MICRA,RED,Hatchback,Petrol,NISSANMICRA7 Years OldPETROL,NISSANMICRA7 Years Old,NISSANMICRA,N-CONNECTA,31/01/2018,TradeZone,MANUAL,7500,84.966667,2,11995,271.04
2545,CITROEN,C3,GREY,Hatchback,Petrol,CITROENC34 Years OldPETROL,CITROENC34 Years Old,CITROENC3,FLAIR,31/01/2021,TradeZone,MANUAL,8450,48.4,2,19495,1134.28
7465,VAUXHALL,MOKKA-E,BLACK,SUV,Electric,VAUXHALLMOKKA-E2 Years OldELECTRIC,VAUXHALLMOKKA-E2 Years Old,VAUXHALLMOKKA-E,SRI PREMIUM,30/06/2022,TradeZone,AUTO,13300,26.1,1,14305,387.62
6781,TOYOTA,RAV4,BLACK,SUV,Hybrid,TOYOTARAV43 Years OldPETROLELECTRICHYBRID,TOYOTARAV43 Years Old,TOYOTARAV4,ICON,28/01/2022,TradeZone,AUTO,17100,35.133333,1,63858,407.082
8069,TOYOTA,AYGO,WHITE,Hatchback,Petrol,TOYOTAAYGO3 Years OldPETROL,TOYOTAAYGO3 Years Old,TOYOTAAYGO,X-PLAY,21/06/2021,TradeZone,MANUAL,7525,39.033333,1,27321,304.628
3524,BMW,1 SERIES,WHITE,Hatchback,Diesel,BMW1 SERIES3 Years OldDIESEL,BMW1 SERIES3 Years Old,BMW1 SERIES,SE,15/02/2021,TradeZone,MANUAL,15100,42.3,1,15418,472.87
1588,MERCEDES-BENZ,A-CLASS,WHITE,Hatchback,Petrol,MERCEDES-BENZA-CLASS3 Years OldPETROL,MERCEDES-BENZA-CLASS3 Years Old,MERCEDES-BENZA-CLASS,AMG LINE PREMIUM EDITION,06/10/2021,PARTEX,SEMI-AUTO,18050,40.366667,1,37570,1171.71
9218,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA5 Years OldPETROL,VAUXHALLCORSA5 Years Old,VAUXHALLCORSA,DESIGN,31/03/2019,TradeZone,MANUAL,5525,68.7,1,45366,905.976
734,VOLKSWAGEN,UP!,BLUE,Hatchback,Petrol,VOLKSWAGENUP!6 Years OldPETROL,VOLKSWAGENUP!6 Years Old,VOLKSWAGENUP!,MOVE UP,31/10/2018,TradeZone,MANUAL,6350,70.966667,2,22992,547.973
