V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
6287,FORD,GALAXY,BLUE,MPV,Diesel,FORDGALAXY3 Years OldDIESEL,FORDGALAXY3 Years Old,FORDGALAXY,TITANIUM,17/05/2021,OTHER,MANUAL,17850,41.4,2,52158,1091.204
6718,SEAT,IBIZA,BLUE,Hatchback,Petrol,SEATIBIZA3 Years OldPETROL,SEATIBIZA3 Years Old,SEATIBIZA,FR,28/05/2021,TradeZone,MANUAL,10150,37.3,1,41267,198.10999999999999
7480,KIA,NIRO,WHITE,SUV,Hybrid,KIANIRO3 Years OldPETROLELECTRICHYBRID,KIANIRO3 Years Old,KIANIRO,3,27/09/2021,TradeZone,AUTO,15550,37.333333,1,41150,290.90999999999997
9636,TOYOTA,AURIS,BLUE,Hatchback,Hybrid,TOYOTAAURIS7 Years OldPETROLELECTRICHYBRID,TOYOTAAURIS7 Years Old,TOYOTAAURIS,DESIGN,30/06/2017,TradeZone,AUTO,8700,90.3,2,55587,2014.716
6908,HONDA,CR-V,GREY,SUV,Diesel,HONDACR-V6 Years OldDIESEL,HONDACR-V6 Years Old,HONDACR-V,SE PLUS,08/01/2018,PARTEX,AUTO,12100,80.166667,4,59422,257.82
8083,VOLKSWAGEN,UP!,SILVER,Hatchback,Petrol,VOLKSWAGENUP!4 Years OldPETROL,VOLKSWAGENUP!4 Years Old,VOLKSWAGENUP!,MOVE UP,13/12/2019,TradeZone,MANUAL,7325,54.766667,1,11022,372.409
6449,RENAULT,CLIO,WHITE,Hatchback,Petrol,RENAULTCLIO5 Years OldPETROL,RENAULTCLIO5 Years Old,RENAULTCLIO,GT LINE,24/07/2019,TradeZone,MANUAL,6875,60.866667,1,38627,240.322
7125,KIA,PICANTO,WHITE,Hatchback,Petrol,KIAPICANTO7 Years OldPETROL,KIAPICANTO7 Years Old,KIAPICANTO,GT-LINE,17/11/2017,TradeZone,MANUAL,6900,82.066667,2,36806,2228.18
8480,KIA,SPORTAGE,SILVER,SUV,Petrol,KIASPORTAGE5 Years OldPETROL,KIASPORTAGE5 Years Old,KIASPORTAGE,2,31/10/2019,TradeZone,MANUAL,12850,60.666667,2,42356,1424
9918,RENAULT,ZOE,WHITE,Hatchback,Electric,RENAULTZOE3 Years OldELECTRIC,RENAULTZOE3 Years Old,RENAULTZOE,GT LINE,31/10/2021,TradeZone,AUTO,8350,37.233333,1,45504,715.836
3780,VOLKSWAGEN,GOLF,BLACK,Hatchback,Diesel,VOLKSWAGENGOLF5 Years OldDIESEL,VOLKSWAGENGOLF5 Years Old,VOLKSWAGENGOLF,SE,27/09/2018,TradeZone,SEMI-AUTO,10150,69.7,3,64009,296.91
6812,SKODA,KAROQ,GREY,SUV,Petrol,SKODAKAROQ4 Years OldPETROL,SKODAKAROQ4 Years Old,SKODAKAROQ,SE L,15/10/2020,TradeZone,MANUAL,13050,48.533333,1,50840,1106.66
7711,LAND ROVER,RANGE ROVER EVOQUE,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE4 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE4 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC,30/10/2020,TradeZone,MANUAL,15150,48.533333,3,52537,311.09
6981,PEUGEOT,E-2008,GREY,SUV,Electric,PEUGEOTE-20082 Years OldELECTRIC,PEUGEOTE-20082 Years Old,PEUGEOTE-2008,GT PREMIUM,30/09/2022,OTHER,AUTO,16150,19.333333,1,9036,273.201
63,VAUXHALL,CORSA,ORANGE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,GRIFFIN EDITION,28/05/2021,TradeZone,MANUAL,11550,37.766667,4,15380,1601.916
2951,LAND ROVER,DISCOVERY SPORT,BLACK,SUV,Diesel,LAND ROVERDISCOVERY SPORT4 Years OldDIESEL,LAND ROVERDISCOVERY SPORT4 Years Old,LAND ROVERDISCOVERY SPORT,R-DYNAMIC S PLUS,22/12/2020,TradeZone,AUTO,19350,49.333333,1,59735,27.3
7993,PEUGEOT,2008,BLACK,SUV,Petrol,PEUGEOT20086 Years OldPETROL,PEUGEOT20086 Years Old,PEUGEOT2008,GT LINE,31/05/2018,TradeZone,MANUAL,6200,76.933333,3,65546,185.5
2549,AUDI,Q2,GREY,SUV,Petrol,AUDIQ26 Years OldPETROL,AUDIQ26 Years Old,AUDIQ2,S LINE,30/05/2018,TradeZone,MANUAL,15050,74.266667,1,31633,317.964
1850,PEUGEOT,3008,WHITE,SUV,Petrol,PEUGEOT30083 Years OldPETROL,PEUGEOT30083 Years Old,PEUGEOT3008,ALLURE PREMIUM,31/03/2021,TradeZone,MANUAL,16550,41.733333,1,17913,884.591
8473,PEUGEOT,208,WHITE,Hatchback,Petrol,PEUGEOT2083 Years OldPETROL,PEUGEOT2083 Years Old,PEUGEOT208,ALLURE,31/03/2021,TradeZone,MANUAL,12250,40.633333,1,17154,382.99
926,KIA,SPORTAGE,WHITE,SUV,Diesel,KIASPORTAGE7 Years OldDIESEL,KIASPORTAGE7 Years Old,KIASPORTAGE,3,17/11/2017,PARTEX,AUTO,10300,86.7,3,44930,204.04
3985,FORD,KUGA,GREY,SUV,Diesel,FORDKUGA7 Years OldDIESEL,FORDKUGA7 Years Old,FORDKUGA,ST-LINE,11/12/2017,TradeZone,SEMI-AUTO,10000,86.633333,1,68249,325.65999999999997
4739,AUDI,A6 AVANT,GREY,Estate,Diesel,AUDIA6 AVANT7 Years OldDIESEL,AUDIA6 AVANT7 Years Old,AUDIA6 AVANT,BLACK EDITION,18/12/2017,TradeZone,SEMI-AUTO,13200,86.666667,3,69591,749.88
5833,VAUXHALL,CORSA,WHITE,Hatchback,Petrol,VAUXHALLCORSA4 Years OldPETROL,VAUXHALLCORSA4 Years Old,VAUXHALLCORSA,GRIFFIN,31/10/2019,TradeZone,MANUAL,6875,55.433333,2,31645,810.79
3679,SKODA,OCTAVIA,SILVER,SUV,Petrol,SKODAOCTAVIA3 Years OldPETROL,SKODAOCTAVIA3 Years Old,SKODAOCTAVIA,SE L,31/12/2020,TradeZone,MANUAL,13550,41.933333,1,36539,257.341
6070,RENAULT,ZOE,GREY,Hatchback,Electric,RENAULTZOE3 Years OldELECTRIC,RENAULTZOE3 Years Old,RENAULTZOE,GT LINE,31/10/2021,TradeZone,AUTO,8725,37.6,1,38787,977.729
8767,FIAT,500,ORANGE,Hatchback,Petrol,FIAT5001 Years OldPETROL,FIAT5001 Years Old,FIAT500,DOLCEVITA,28/09/2022,TradeZone,MANUAL,10400,19.6,3,5680,320.49
6121,JAGUAR,E-PACE,WHITE,SUV,Diesel,JAGUARE-PACE4 Years OldDIESEL,JAGUARE-PACE4 Years Old,JAGUARE-PACE,R-DYNAMIC SE,14/01/2020,TradeZone,MANUAL,16300,53.533333,1,30927,365.9
5755,MERCEDES-BENZ,C-CLASS,SILVER,Saloon,Diesel,MERCEDES-BENZC-CLASS3 Years OldDIESEL,MERCEDES-BENZC-CLASS3 Years Old,MERCEDES-BENZC-CLASS,AMG LINE NIGHT EDITION,30/09/2020,TradeZone,SEMI-AUTO,17900,47.433333,1,53579,724.9499999999999
1855,PEUGEOT,3008,GREY,SUV,Petrol,PEUGEOT30083 Years OldPETROL,PEUGEOT30083 Years Old,PEUGEOT3008,GT,31/05/2021,TradeZone,SEMI-AUTO,20500,36.9,1,15175,567.362
1438,SKODA,FABIA,GREY,Hatchback,Petrol,SKODAFABIA3 Years OldPETROL,SKODAFABIA3 Years Old,SKODAFABIA,MONTE CARLO,28/07/2021,TradeZone,SEMI-AUTO,11900,35.533333,2,32756,264.142
1508,KIA,PROCEED,ORANGE,Estate,Petrol,KIAPROCEED1 Years OldPETROL,KIAPROCEED1 Years Old,KIAPROCEED,GT-LINE,22/05/2023,OTHER,MANUAL,18450,12.6,1,15615,1167.5
963,KIA,SPORTAGE,BROWN,SUV,Diesel,KIASPORTAGE6 Years OldDIESEL,KIASPORTAGE6 Years Old,KIASPORTAGE,1,18/06/2018,TradeZone,MANUAL,6475,82.166667,2,54940,323.378
1072,PEUGEOT,308,BLACK,Hatchback,Petrol,PEUGEOT3086 Years OldPETROL,PEUGEOT3086 Years Old,PEUGEOT308,GT LINE,28/09/2018,TradeZone,MANUAL,7825,74.533333,3,30394,857.049
2858,KIA,RIO,WHITE,Hatchback,Petrol,KIARIO3 Years OldPETROL,KIARIO3 Years Old,KIARIO,2,02/08/2021,TradeZone,MANUAL,12000,33.766667,1,15527,404.679
3641,NISSAN,JUKE,WHITE,SUV,Petrol,NISSANJUKE2 Years OldPETROL,NISSANJUKE2 Years Old,NISSANJUKE,VISIA,23/12/2021,TradeZone,MANUAL,11350,34.033333,3,18554,469.39799999999997
1771,HYUNDAI,I10,SILVER,Hatchback,Petrol,HYUNDAII105 Years OldPETROL,HYUNDAII105 Years Old,HYUNDAII10,SE,22/07/2019,TradeZone,MANUAL,6525,66.033333,3,16312,369.46
5011,PEUGEOT,E-2008,GREY,SUV,Electric,PEUGEOTE-20083 Years OldELECTRIC,PEUGEOTE-20083 Years Old,PEUGEOTE-2008,GT,31/05/2021,TradeZone,AUTO,14000,42.8,1,14068,240.962
636,HYUNDAI,KONA,RED,SUV,Petrol,HYUNDAIKONA2 Years OldPETROL,HYUNDAIKONA2 Years Old,HYUNDAIKONA,PREMIUM,20/05/2021,OTHER,MANUAL,14500,36.3,3,6347,484.849
4462,PEUGEOT,3008,BRONZE,SUV,Petrol,PEUGEOT30086 Years OldPETROL,PEUGEOT30086 Years Old,PEUGEOT3008,ALLURE,17/11/2017,TradeZone,SEMI-AUTO,9900,79.666667,2,69648,503.429
3420,BMW,1 SERIES,WHITE,Hatchback,Petrol,BMW1 SERIES5 Years OldPETROL,BMW1 SERIES5 Years Old,BMW1 SERIES,M SPORT,25/02/2019,TradeZone,MANUAL,9450,64.733333,1,74295,744.52
5838,FORD,FOCUS,BLACK,Hatchback,Diesel,FORDFOCUS2 Years OldDIESEL,FORDFOCUS2 Years Old,FORDFOCUS,ACTIVE X EDITION,15/10/2021,TradeZone,MANUAL,16900,33.066667,2,12450,798.618
4511,DACIA,SANDERO STEPWAY,BLACK,Hatchback,Petrol,DACIASANDERO STEPWAY3 Years OldPETROL,DACIASANDERO STEPWAY3 Years Old,DACIASANDERO STEPWAY,PRESTIGE,04/06/2021,TradeZone,AUTO,12550,36.966667,1,10682,286.93
6994,KIA,XCEED,WHITE,Hatchback,Petrol,KIAXCEED1 Years OldPETROL,KIAXCEED1 Years Old,KIAXCEED,GT-LINE,11/05/2023,OTHER,MANUAL,16500,12.966667,1,15176,285.819
4370,SKODA,FABIA,GREY,Hatchback,Petrol,SKODAFABIA3 Years OldPETROL,SKODAFABIA3 Years Old,SKODAFABIA,MONTE CARLO,27/04/2021,TradeZone,MANUAL,11050,42,1,30742,363.78
5633,KIA,SPORTAGE,SILVER,SUV,Diesel,KIASPORTAGE5 Years OldDIESEL,KIASPORTAGE5 Years Old,KIASPORTAGE,GT-LINE,31/12/2019,OTHER,MANUAL,12750,62.633333,1,45999,850.52
4535,RENAULT,ARKANA,BLACK,SUV,Hybrid,RENAULTARKANA2 Years OldPETROLELECTRICHYBRID,RENAULTARKANA2 Years Old,RENAULTARKANA,S EDITION,31/05/2022,TradeZone,SEMI-AUTO,14950,30.333333,1,38198,571.357
2062,RENAULT,ZOE,WHITE,Hatchback,Electric,RENAULTZOE4 Years OldELECTRIC,RENAULTZOE4 Years Old,RENAULTZOE,GT LINE,30/09/2020,TradeZone,AUTO,8075,50.566667,1,41442,392.74899999999997
1845,VOLKSWAGEN,UP!,BLACK,Hatchback,Petrol,VOLKSWAGENUP!7 Years OldPETROL,VOLKSWAGENUP!7 Years Old,VOLKSWAGENUP!,HIGH UP,07/09/2017,TradeZone,MANUAL,8100,88.233333,1,13731,400.591
8551,RENAULT,CLIO,WHITE,Hatchback,Petrol,RENAULTCLIO2 Years OldPETROL,RENAULTCLIO2 Years Old,RENAULTCLIO,SE EDITION,21/10/2022,TradeZone,MANUAL,12950,24.4,1,18126,562.91
2969,MERCEDES-BENZ,CLA,BLACK,Coupe,Petrol,MERCEDES-BENZCLA5 Years OldPETROL,MERCEDES-BENZCLA5 Years Old,MERCEDES-BENZCLA,AMG LINE EDITION,24/09/2018,PARTEX,MANUAL,11500,68.3,2,57256,909.996
2229,KIA,SPORTAGE,WHITE,SUV,Petrol,KIASPORTAGE2 Years OldPETROL,KIASPORTAGE2 Years Old,KIASPORTAGE,2,27/09/2021,TradeZone,MANUAL,15050,32.2,1,31097,497.039
2696,KIA,NIRO,SILVER,SUV,Hybrid,KIANIRO3 Years OldPETROLELECTRICHYBRID,KIANIRO3 Years Old,KIANIRO,2,19/02/2021,OTHER,AUTO,14450,39.3,1,19421,1815.572
7698,BMW,1 SERIES,GREY,Hatchback,Petrol,BMW1 SERIES6 Years OldPETROL,BMW1 SERIES6 Years Old,BMW1 SERIES,M SPORT SHADOW EDITION,31/05/2018,TradeZone,SEMI-AUTO,12150,73.666667,2,43156,943.25
4119,LAND ROVER,RANGE ROVER EVOQUE,BLACK,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE6 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE6 Years Old,LAND ROVERRANGE ROVER EVOQUE,SE TECH,21/12/2017,TradeZone,MANUAL,8000,78.9,1,68962,361.82
3605,CITROEN,C3,GREY,Hatchback,Petrol,CITROENC35 Years OldPETROL,CITROENC35 Years Old,CITROENC3,FLAIR,18/01/2019,TradeZone,MANUAL,6900,64.566667,2,37508,596.61
6617,LAND ROVER,RANGE ROVER EVOQUE,BLACK,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE4 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE4 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC S,12/12/2019,TradeZone,MANUAL,16700,53.766667,1,39944,623.724
9126,LAND ROVER,RANGE ROVER EVOQUE,BLACK,SUV,Hybrid,LAND ROVERRANGE ROVER EVOQUE4 Years OldPETROLPLUGINELECTRICHYBRID,LAND ROVERRANGE ROVER EVOQUE4 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC S,25/11/2020,TradeZone,AUTO,21450,49.3,1,40983,873.94
377,PEUGEOT,3008,GREY,SUV,Diesel,PEUGEOT30084 Years OldDIESEL,PEUGEOT30084 Years Old,PEUGEOT3008,ALLURE,18/01/2021,OTHER,MANUAL,12200,49.833333,1,56794,409
3997,VOLVO,XC60,BLACK,SUV,Diesel,VOLVOXC604 Years OldDIESEL,VOLVOXC604 Years Old,VOLVOXC60,MOMENTUM,08/12/2020,TradeZone,SEMI-AUTO,22750,48.133333,1,33406,248.182
1383,RENAULT,CLIO,BLACK,Hatchback,Petrol,RENAULTCLIO3 Years OldPETROL,RENAULTCLIO3 Years Old,RENAULTCLIO,RS LINE,30/12/2021,TradeZone,MANUAL,12400,37.233333,1,13445,456.514
4080,VOLVO,XC60,GREY,SUV,Petrol,VOLVOXC606 Years OldPETROL,VOLVOXC606 Years Old,VOLVOXC60,MOMENTUM,26/03/2018,TradeZone,SEMI-AUTO,16550,77.033333,4,57971,529.011
8959,FORD,FOCUS,RED,Estate,Diesel,FORDFOCUS3 Years OldDIESEL,FORDFOCUS3 Years Old,FORDFOCUS,ZETEC EDITION,29/03/2021,TradeZone,MANUAL,10250,41.433333,1,54604,536.549
6597,BMW,2 SERIES GRAN TOURER,BLUE,MPV,Petrol,BMW2 SERIES GRAN TOURER6 Years OldPETROL,BMW2 SERIES GRAN TOURER6 Years Old,BMW2 SERIES GRAN TOURER,LUXURY,31/07/2018,TradeZone,SEMI-AUTO,13150,80.066667,2,37734,601.495
5133,HONDA,JAZZ,BLUE,Hatchback,Petrol,HONDAJAZZ6 Years OldPETROL,HONDAJAZZ6 Years Old,HONDAJAZZ,SE,28/12/2017,OTHER,MANUAL,7775,78.366667,3,46494,1252.61
3317,TOYOTA,AYGO,GREY,Hatchback,Petrol,TOYOTAAYGO4 Years OldPETROL,TOYOTAAYGO4 Years Old,TOYOTAAYGO,JBL EDITION,05/12/2020,TradeZone,MANUAL,8450,49.066667,1,36207,454.635
1151,AUDI,A1,WHITE,Hatchback,Petrol,AUDIA12 Years OldPETROL,AUDIA12 Years Old,AUDIA1,TECHNIK,05/12/2022,TradeZone,MANUAL,15000,23.933333,1,19435,458.69
7242,BMW,1 SERIES,WHITE,Hatchback,Diesel,BMW1 SERIES6 Years OldDIESEL,BMW1 SERIES6 Years Old,BMW1 SERIES,SPORT,29/06/2018,TradeZone,MANUAL,9875,73.833333,4,22334,529.842
1414,VOLKSWAGEN,UP!,WHITE,Hatchback,Petrol,VOLKSWAGENUP!5 Years OldPETROL,VOLKSWAGENUP!5 Years Old,VOLKSWAGENUP!,UP GTI,07/01/2019,TradeZone,MANUAL,12950,65.133333,2,14970,453.73
5280,SKODA,ENYAQ IV,SILVER,SUV,Electric,SKODAENYAQ IV3 Years OldELECTRIC,SKODAENYAQ IV3 Years Old,SKODAENYAQ IV,60 LOFT,07/12/2021,TradeZone,AUTO,17550,38.533333,,26430,366.724
9769,BMW,X2,BLACK,SUV,Hybrid,BMWX23 Years OldPETROLPLUGINELECTRICHYBRID,BMWX23 Years Old,BMWX2,SPORT,13/08/2021,TradeZone,SEMI-AUTO,19100,36.3,1,26127,955.004
1914,TOYOTA,RAV4,BLACK,SUV,Hybrid,TOYOTARAV45 Years OldPETROLELECTRICHYBRID,TOYOTARAV45 Years Old,TOYOTARAV4,DESIGN,22/05/2019,TradeZone,AUTO,18850,62.066667,1,43028,670.73
8720,BMW,2 SERIES ACTIVE TOURER,BLACK,Hatchback,Petrol,BMW2 SERIES ACTIVE TOURER5 Years OldPETROL,BMW2 SERIES ACTIVE TOURER5 Years Old,BMW2 SERIES ACTIVE TOURER,SE,13/12/2019,TradeZone,MANUAL,9325,63.166667,2,37442,553.673
3110,MINI,HATCHBACK,GREY,Hatchback,Petrol,MINIHATCHBACK6 Years OldPETROL,MINIHATCHBACK6 Years Old,MINIHATCHBACK,Cooper                                            ,08/12/2017,TradeZone,MANUAL,7100,79.266667,1,19507,1133.99
5524,AUDI,Q2,BLACK,SUV,Diesel,AUDIQ26 Years OldDIESEL,AUDIQ26 Years Old,AUDIQ2,S LINE,15/11/2018,TradeZone,MANUAL,10550,75.333333,3,75905,388.13
8293,NISSAN,QASHQAI,RED,SUV,Petrol,NISSANQASHQAI5 Years OldPETROL,NISSANQASHQAI5 Years Old,NISSANQASHQAI,VISIA,18/10/2019,TradeZone,MANUAL,9975,63.933333,1,29540,496.75
1876,KIA,NIRO,SILVER,SUV,Hybrid,KIANIRO4 Years OldPETROLELECTRICHYBRID,KIANIRO4 Years Old,KIANIRO,4,07/02/2020,TradeZone,AUTO,14800,52.466667,1,58329,251.45999999999998
7631,SEAT,TARRACO,BLACK,SUV,Diesel,SEATTARRACO4 Years OldDIESEL,SEATTARRACO4 Years Old,SEATTARRACO,XCELLENCE LUX,11/12/2019,TradeZone,MANUAL,19100,56.4,1,33873,835.8009999999999
2063,TOYOTA,C-HR,BLUE,SUV,Hybrid,TOYOTAC-HR4 Years OldPETROLELECTRICHYBRID,TOYOTAC-HR4 Years Old,TOYOTAC-HR,ICON,18/11/2020,TradeZone,AUTO,15150,49.633333,1,21505,930.427
8086,PEUGEOT,3008,GREY,SUV,Petrol,PEUGEOT30084 Years OldPETROL,PEUGEOT30084 Years Old,PEUGEOT3008,GT LINE,29/09/2020,TradeZone,MANUAL,11300,52.3,2,33482,693.74
9818,FIAT,500,GREY,Hatchback,Petrol,FIAT5003 Years OldPETROL,FIAT5003 Years Old,FIAT500,DOLCEVITA,01/07/2021,TradeZone,MANUAL,8775,37.033333,1,12152,297.191
6596,BMW,X2,BLUE,SUV,Hybrid,BMWX23 Years OldPETROLPLUGINELECTRICHYBRID,BMWX23 Years Old,BMWX2,SPORT,09/07/2021,TradeZone,SEMI-AUTO,17950,37.066667,1,38459,763.78
5045,FIAT,500,BLACK,Hatchback,Petrol,FIAT5007 Years OldPETROL,FIAT5007 Years Old,FIAT500,LOUNGE,29/12/2017,PARTEX,MANUAL,5000,85.033333,3,38996,372.85
8006,HYUNDAI,TUCSON,BLACK,SUV,Petrol,HYUNDAITUCSON6 Years OldPETROL,HYUNDAITUCSON6 Years Old,HYUNDAITUCSON,SE NAV,01/02/2018,PARTEX,MANUAL,7500,85.8,2,55145,549.186
9951,AUDI,E-TRON,WHITE,SUV,Electric,AUDIE-TRON4 Years OldELECTRIC,AUDIE-TRON4 Years Old,AUDIE-TRON,LAUNCH EDITION,24/11/2020,TradeZone,AUTO,23450,42.966667,2,58160,735.89
6927,BMW,X2,BLUE,SUV,Hybrid,BMWX23 Years OldPETROLPLUGINELECTRICHYBRID,BMWX23 Years Old,BMWX2,SPORT,29/04/2021,TradeZone,SEMI-AUTO,21300,36.866667,1,18507,651.941
2734,VOLKSWAGEN,POLO,WHITE,Hatchback,Petrol,VOLKSWAGENPOLO3 Years OldPETROL,VOLKSWAGENPOLO3 Years Old,VOLKSWAGENPOLO,SEL,21/05/2021,TradeZone,SEMI-AUTO,14200,37,1,36818,461.131
9896,SKODA,KAMIQ,WHITE,SUV,Petrol,SKODAKAMIQ3 Years OldPETROL,SKODAKAMIQ3 Years Old,SKODAKAMIQ,SE,07/06/2021,TradeZone,MANUAL,12100,36.7,1,23781,1555.218
933,VOLKSWAGEN,T-CROSS,WHITE,SUV,Petrol,VOLKSWAGENT-CROSS3 Years OldPETROL,VOLKSWAGENT-CROSS3 Years Old,VOLKSWAGENT-CROSS,SEL,01/06/2021,TradeZone,MANUAL,15350,36.633333,1,17234,446.873
7283,SKODA,FABIA,GREY,Hatchback,Petrol,SKODAFABIA3 Years OldPETROL,SKODAFABIA3 Years Old,SKODAFABIA,MONTE CARLO,09/07/2021,TradeZone,SEMI-AUTO,13000,40.066667,2,17835,576.04
6045,VOLKSWAGEN,E-UP!,BLACK,Hatchback,Electric,VOLKSWAGENE-UP!2 Years OldELECTRIC,VOLKSWAGENE-UP!2 Years Old,VOLKSWAGENE-UP!,E-UP,07/01/2022,TradeZone,AUTO,12050,28.666667,1,6239,679.89
9161,VAUXHALL,GRANDLAND X,BLACK,SUV,Diesel,VAUXHALLGRANDLAND X3 Years OldDIESEL,VAUXHALLGRANDLAND X3 Years Old,VAUXHALLGRANDLAND X,ULTIMATE,10/01/2022,OTHER,MANUAL,15300,33.966667,2,23058,498.09999999999997
2433,BMW,Z4,BLUE,Convertible,Petrol,BMWZ45 Years OldPETROL,BMWZ45 Years Old,BMWZ4,M SPORT,27/06/2019,TradeZone,SEMI-AUTO,21450,59.666667,4,39177,470.13
4102,BMW,1 SERIES,BLACK,Hatchback,Diesel,BMW1 SERIES4 Years OldDIESEL,BMW1 SERIES4 Years Old,BMW1 SERIES,SE,07/01/2021,TradeZone,MANUAL,11850,48.466667,1,58125,1402.749
9521,LAND ROVER,DISCOVERY SPORT,WHITE,SUV,Diesel,LAND ROVERDISCOVERY SPORT4 Years OldDIESEL,LAND ROVERDISCOVERY SPORT4 Years Old,LAND ROVERDISCOVERY SPORT,S,25/11/2020,TradeZone,MANUAL,14550,49.9,1,48266,616.28
2280,LAND ROVER,RANGE ROVER EVOQUE,SILVER,SUV,Hybrid,LAND ROVERRANGE ROVER EVOQUE3 Years OldPETROLPLUGINELECTRICHYBRID,LAND ROVERRANGE ROVER EVOQUE3 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC S,30/11/2020,OTHER,AUTO,23100,41.633333,2,25152,244.47
686,KIA,E-NIRO,BLUE,SUV,Electric,KIAE-NIRO4 Years OldELECTRIC,KIAE-NIRO4 Years Old,KIAE-NIRO,4,04/12/2020,TradeZone,AUTO,14800,46.1,2,41741,566.91
8688,VAUXHALL,MOKKA X,BLACK,SUV,Petrol,VAUXHALLMOKKA X6 Years OldPETROL,VAUXHALLMOKKA X6 Years Old,VAUXHALLMOKKA X,ELITE NAV,30/10/2018,TradeZone,MANUAL,8875,75.833333,4,26164,419.63
4978,VOLKSWAGEN,GOLF,BLUE,Hatchback,Electric,VOLKSWAGENGOLF4 Years OldELECTRIC,VOLKSWAGENGOLF4 Years Old,VOLKSWAGENGOLF,E-GOLF,10/07/2020,TradeZone,AUTO,9975,51.233333,2,26876,2287.93
1932,SKODA,FABIA,BLACK,Hatchback,Petrol,SKODAFABIA2 Years OldPETROL,SKODAFABIA2 Years Old,SKODAFABIA,SE COMFORT,27/05/2022,TradeZone,MANUAL,11600,29.5,1,28105,322.43
6725,FORD,FOCUS,BLUE,Hatchback,Petrol,FORDFOCUS8 Years OldPETROL,FORDFOCUS8 Years Old,FORDFOCUS,ST-LINE,30/11/2016,PARTEX,MANUAL,5125,100.8,3,72551,506.31
7987,VOLVO,XC60,WHITE,SUV,Petrol,VOLVOXC605 Years OldPETROL,VOLVOXC605 Years Old,VOLVOXC60,EDITION,30/11/2019,TradeZone,SEMI-AUTO,20100,62.266667,1,34408,287.78999999999996
8510,NISSAN,LEAF,BLACK,Hatchback,Electric,NISSANLEAF2 Years OldELECTRIC,NISSANLEAF2 Years Old,NISSANLEAF,ACENTA,12/10/2022,TradeZone,AUTO,10150,25.833333,1,8581,587.809
3677,MINI,HATCHBACK,SILVER,Hatchback,Electric,MINIHATCHBACK1 Years OldELECTRIC,MINIHATCHBACK1 Years Old,MINIHATCHBACK,COOPER S LEVEL 1,16/10/2023,TradeZone,AUTO,15650,10.033333,1,2921,569.542
1074,BMW,I3,GREY,Hatchback,Electric,BMWI33 Years OldELECTRIC,BMWI33 Years Old,BMWI3,S,28/06/2021,TradeZone,AUTO,11350,38.4,1,60014,522.72
3114,SKODA,OCTAVIA,BLUE,Estate,Diesel,SKODAOCTAVIA3 Years OldDIESEL,SKODAOCTAVIA3 Years Old,SKODAOCTAVIA,SE L,07/07/2021,TradeZone,SEMI-AUTO,16250,37.533333,1,45354,580.68
8539,BMW,X1,BLACK,SUV,Hybrid,BMWX13 Years OldPETROLPLUGINELECTRICHYBRID,BMWX13 Years Old,BMWX1,SPORT,14/07/2021,TradeZone,SEMI-AUTO,20950,38.933333,3,15109,296.7
8265,KIA,E-NIRO,SILVER,SUV,Electric,KIAE-NIRO3 Years OldELECTRIC,KIAE-NIRO3 Years Old,KIAE-NIRO,4+,09/06/2021,TradeZone,AUTO,16350,37.366667,1,33717,298.71
2966,SKODA,KAMIQ,BLUE,SUV,Petrol,SKODAKAMIQ3 Years OldPETROL,SKODAKAMIQ3 Years Old,SKODAKAMIQ,SE,01/06/2021,TradeZone,MANUAL,12400,37.066667,2,18600,411.128
2630,AUDI,E-TRON,GREY,SUV,Electric,AUDIE-TRON3 Years OldELECTRIC,AUDIE-TRON3 Years Old,AUDIE-TRON,TECHNIK,21/05/2021,TradeZone,AUTO,20400,36.366667,1,16207,1374.07
6406,VOLVO,XC40,BLACK,SUV,Hybrid,VOLVOXC404 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC404 Years Old,VOLVOXC40,R DESIGN,13/01/2021,TradeZone,SEMI-AUTO,16050,50.2,1,65344,297.75
9013,BMW,1 SERIES,BLACK,Hatchback,Petrol,BMW1 SERIES5 Years OldPETROL,BMW1 SERIES5 Years Old,BMW1 SERIES,M SPORT SHADOW EDITION,29/04/2019,PARTEX,SEMI-AUTO,12050,64.933333,2,57033,423.29999999999995
